Id,content
1,"Wind 3.2 mph NNE. Barometer 30.20 in, Rising slowly. Temperature 49.3 °F. Rain today 0.00 in. Humidity 32%"
2,Pausa pro café antes de embarcar no próximo vôo. #trippolisontheroad #danipolisviaja \n\nPause for… https://t.co/PhcJ4oYktP
3,Good. Morning. #morning #Saturday #diner #VT #breakfast #nucorpsofcadetsring #ring #college… https://t.co/dBZ7dbwX6f
4,@gratefuldead recordstoredayus 🌹🌹🌹 @ TOMS MUSIC TRADE https://t.co/CURRmn6iJo
5,"Egg in a muffin!!! (@ Rocket Baby Bakery - @rocketbabybaker in Wauwatosa, WI) https://t.co/mwfhrcxtRp"
6,@lyricwaters should've gave the neighbor  a buzz. Iv got ice cream and moms baked goodies 🤑
7,"On the way to CT! (@ Mamaroneck, NY in Mamaroneck, NY) https://t.co/6rpe6MXDkB"
8,We're #hiring! Read about our latest #job opening here: Retail Sales Consultant [CWA MOB] Bryn Mawr PA - https://t.co/bBwxSPsL4f #Retail
9,Me... @ Montgomery Scrap Corporation https://t.co/kpt7zM4xbL
10,"BAYADA Home Health Care: Home Health Registered Nurse (#GlenBurnie, MD) https://t.co/m53vlvEyO0 #Job #Jobs #Hiring"
11,"Shift Supervisor Trainee - CVS Health: (#OCEANCITY, MD) https://t.co/BqCqtHS9bO #Retail #Job #Jobs #Hiring #CareerArc"
12,#007 #jamesbond #blacktie #redcarpet #vip #gambling #youonlylivetwice #diamondsareforever… https://t.co/ZXRyEC9Dlg
13,"Although I am not endorsing a candidate, I thought this was… https://t.co/72ctPqptOA"
14,"I think spring finally has arrived! (@ Milwaukee Lakefront in Milwaukee, WI) https://t.co/usjyJETrQV"
15,"Want to work in #Burlington, MA? View our latest opening: https://t.co/qwwWQt0DMj #Healthcare #Job #Jobs #Hiring #CareerArc"
16,"Want to work in #Charlotte, NC? View our latest opening: https://t.co/nkrJjulisQ #BusinessMgmt #insurance #Job #Jobs #Hiring"
17,you'll love this @34jaIIen https://t.co/fL7YNLOAsk
18,"#Engineering #Job alert: Prod Engr - Software | ZF TRW | #Livonia, MI https://t.co/c86RXWivrk #Veterans #Jobs #Hiring"
19,"Can you recommend anyone for this #job? Clinical Applications Coordinator - Ancillary - https://t.co/MKe3sLrMFt #Atlanta, GA #IT #Hiring"
20,"I'm at @InNOutBurger in Long Beach, CA https://t.co/uqmEomzVKZ"
21,Don’t think about what can happen in a month. Don’t think about what can happen in a year. Just… https://t.co/2JFQNg7Kq6
22,Vacation here I come !! @ Official JetBlue Terminal - LaGuardia… https://t.co/IashwLv0ao
23,"😊 @ Foro Sol, Mexico D.F. https://t.co/PbAbOVEPCl"
24,"Can you recommend anyone for this #Hospitality #job? https://t.co/opAs4JitFl #restaurantjobs #Fairfax, VA #Hiring #CareerArc"
